parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_10_256,PUB_R3,16,4,20,3576074
XMSS-SHA2_10_256,PUB_R3,32,-4,28,3452537
XMSS-SHA2_10_256,PUB_R3,32,-3,29,3517630
XMSS-SHA2_10_256,PUB_R3,32,-2,30,3514055
XMSS-SHA2_10_256,PUB_R3,32,-1,31,13132963
XMSS-SHA2_10_256,PUB_R3,32,0,32,15546315
XMSS-SHA2_10_256,PUB_R3,32,1,33,13043370
XMSS-SHA2_10_256,PUB_R3,32,2,34,15488686
XMSS-SHA2_10_256,PUB_R3,32,3,35,12986093
XMSS-SHA2_10_256,PUB_R3,32,4,36,15418685
XMSS-SHA2_10_256,PUB_R3,64,-4,60,3517593
XMSS-SHA2_10_256,PUB_R3,64,-3,61,3549371
XMSS-SHA2_10_256,PUB_R3,64,-2,62,3471611
XMSS-SHA2_10_256,PUB_R3,64,-1,63,12918092
XMSS-SHA2_10_256,PUB_R3,64,0,64,15348111
XMSS-SHA2_10_256,PUB_R3,64,1,65,13160240
XMSS-SHA2_10_256,PUB_R3,64,2,66,15377741
XMSS-SHA2_10_256,PUB_R3,64,3,67,12880630
XMSS-SHA2_10_256,PUB_R3,64,4,68,15429852
XMSS-SHA2_10_256,PUB_R3,128,-4,124,3540741
XMSS-SHA2_10_256,PUB_R3,128,-3,125,3358519
XMSS-SHA2_10_256,PUB_R3,128,-2,126,3510796
XMSS-SHA2_10_256,PUB_R3,128,-1,127,13066222
XMSS-SHA2_10_256,PUB_R3,128,0,128,15399815
XMSS-SHA2_10_256,PUB_R3,128,1,129,12893444
XMSS-SHA2_10_256,PUB_R3,128,2,130,15359629
XMSS-SHA2_10_256,PUB_R3,128,3,131,13019778
XMSS-SHA2_10_256,PUB_R3,128,4,132,15290555
XMSS-SHA2_10_256,PUB_R3,256,-4,252,3545259
XMSS-SHA2_10_256,PUB_R3,256,-3,253,3490870
XMSS-SHA2_10_256,PUB_R3,256,-2,254,3497371
XMSS-SHA2_10_256,PUB_R3,256,-1,255,13045593
XMSS-SHA2_10_256,PUB_R3,256,0,256,15265482
XMSS-SHA2_10_256,PUB_R3,256,1,257,13037815
XMSS-SHA2_10_256,PUB_R3,256,2,258,15409926
XMSS-SHA2_10_256,PUB_R3,256,3,259,13121722
XMSS-SHA2_10_256,PUB_R3,256,4,260,15370241
XMSS-SHA2_10_256,PUB_R3,512,-4,508,3488871
XMSS-SHA2_10_256,PUB_R3,512,-3,509,3578019
XMSS-SHA2_10_256,PUB_R3,512,-2,510,3584722
XMSS-SHA2_10_256,PUB_R3,512,-1,511,13154185
XMSS-SHA2_10_256,PUB_R3,512,0,512,15435019
XMSS-SHA2_10_256,PUB_R3,512,1,513,13031408
XMSS-SHA2_10_256,PUB_R3,512,2,514,15336482
XMSS-SHA2_10_256,PUB_R3,512,3,515,12875834
XMSS-SHA2_10_256,PUB_R3,512,4,516,15435296
XMSS-SHA2_16_256,PUB_R1,4,-4,0,3614518
XMSS-SHA2_16_256,PUB_R1,4,-3,1,3537241
XMSS-SHA2_16_256,PUB_R1,4,-2,2,3660870
XMSS-SHA2_16_256,PUB_R1,4,-1,3,8420500
XMSS-SHA2_16_256,PUB_R1,4,0,4,3598537
XMSS-SHA2_16_256,PUB_R1,4,1,5,3593982
XMSS-SHA2_16_256,PUB_R1,4,2,6,3467556
XMSS-SHA2_16_256,PUB_R1,4,3,7,18156148
XMSS-SHA2_16_256,PUB_R1,4,4,8,3543185
XMSS-SHA2_16_256,PUB_R1,8,-4,4,3598537
XMSS-SHA2_16_256,PUB_R1,8,-3,5,3593982
XMSS-SHA2_16_256,PUB_R1,8,-2,6,3467556
XMSS-SHA2_16_256,PUB_R1,8,-1,7,18156148
XMSS-SHA2_16_256,PUB_R1,8,0,8,3543185
XMSS-SHA2_16_256,PUB_R1,8,1,9,3560834
XMSS-SHA2_16_256,PUB_R1,8,2,10,3628074
XMSS-SHA2_16_256,PUB_R1,8,3,11,8279703
XMSS-SHA2_16_256,PUB_R1,8,4,12,3675667
XMSS-SHA2_16_256,PUB_R1,16,-4,12,3675667
XMSS-SHA2_16_256,PUB_R1,16,-3,13,3636778
XMSS-SHA2_16_256,PUB_R1,16,-2,14,3581741
XMSS-SHA2_16_256,PUB_R1,16,-1,15,20646833
XMSS-SHA2_16_256,PUB_R1,16,0,16,20529352
XMSS-SHA2_16_256,PUB_R1,16,1,17,3681518
XMSS-SHA2_16_256,PUB_R1,16,2,18,3589018
XMSS-SHA2_16_256,PUB_R1,16,3,19,8433518
XMSS-SHA2_16_256,PUB_R1,16,4,20,3585130
XMSS-SHA2_16_256,PUB_R1,32,-4,28,3739519
XMSS-SHA2_16_256,PUB_R1,32,-3,29,3612630
XMSS-SHA2_16_256,PUB_R1,32,-2,30,3537870
XMSS-SHA2_16_256,PUB_R1,32,-1,31,20799389
XMSS-SHA2_16_256,PUB_R1,32,0,32,23149204
XMSS-SHA2_16_256,PUB_R1,32,1,33,20716092
XMSS-SHA2_16_256,PUB_R1,32,2,34,23045463
XMSS-SHA2_16_256,PUB_R1,32,3,35,8385722
XMSS-SHA2_16_256,PUB_R1,32,4,36,3636500
XMSS-SHA2_16_256,PUB_R1,64,-4,60,3533296
XMSS-SHA2_16_256,PUB_R1,64,-3,61,3554203
XMSS-SHA2_16_256,PUB_R1,64,-2,62,3533797
XMSS-SHA2_16_256,PUB_R1,64,-1,63,20623426
XMSS-SHA2_16_256,PUB_R1,64,0,64,23203556
XMSS-SHA2_16_256,PUB_R1,64,1,65,20620204
XMSS-SHA2_16_256,PUB_R1,64,2,66,23195556
XMSS-SHA2_16_256,PUB_R1,64,3,67,20502704
XMSS-SHA2_16_256,PUB_R1,64,4,68,23036778
XMSS-SHA2_16_256,PUB_R1,128,-4,124,3687463
XMSS-SHA2_16_256,PUB_R1,128,-3,125,3630482
XMSS-SHA2_16_256,PUB_R1,128,-2,126,3567111
XMSS-SHA2_16_256,PUB_R1,128,-1,127,20484371
XMSS-SHA2_16_256,PUB_R1,128,0,128,23124055
XMSS-SHA2_16_256,PUB_R1,128,1,129,20383074
XMSS-SHA2_16_256,PUB_R1,128,2,130,22927167
XMSS-SHA2_16_256,PUB_R1,128,3,131,20621871
XMSS-SHA2_16_256,PUB_R1,128,4,132,23072685
XMSS-SHA2_16_256,PUB_R1,256,-4,252,3607593
XMSS-SHA2_16_256,PUB_R1,256,-3,253,3432130
XMSS-SHA2_16_256,PUB_R1,256,-2,254,3601352
XMSS-SHA2_16_256,PUB_R1,256,-1,255,20683463
XMSS-SHA2_16_256,PUB_R1,256,0,256,23098926
XMSS-SHA2_16_256,PUB_R1,256,1,257,20447352
XMSS-SHA2_16_256,PUB_R1,256,2,258,23109463
XMSS-SHA2_16_256,PUB_R1,256,3,259,20639556
XMSS-SHA2_16_256,PUB_R1,256,4,260,23196277
XMSS-SHA2_16_256,PUB_R1,512,-4,508,3711000
XMSS-SHA2_16_256,PUB_R1,512,-3,509,3598074
XMSS-SHA2_16_256,PUB_R1,512,-2,510,3697722
XMSS-SHA2_16_256,PUB_R1,512,-1,511,20447093
XMSS-SHA2_16_256,PUB_R1,512,0,512,23208722
XMSS-SHA2_16_256,PUB_R1,512,1,513,20689704
XMSS-SHA2_16_256,PUB_R1,512,2,514,22998259
XMSS-SHA2_16_256,PUB_R1,512,3,515,20675500
XMSS-SHA2_16_256,PUB_R1,512,4,516,23040871
XMSS-SHA2_16_256,PUB_R1,1024,-4,1020,3632611
XMSS-SHA2_16_256,PUB_R1,1024,-3,1021,3607963
XMSS-SHA2_16_256,PUB_R1,1024,-2,1022,3474408
XMSS-SHA2_16_256,PUB_R1,1024,-1,1023,20699092
XMSS-SHA2_16_256,PUB_R1,1024,0,1024,23055111
XMSS-SHA2_16_256,PUB_R1,1024,1,1025,20686407
XMSS-SHA2_16_256,PUB_R1,1024,2,1026,23140593
XMSS-SHA2_16_256,PUB_R1,1024,3,1027,20620500
XMSS-SHA2_16_256,PUB_R1,1024,4,1028,22834685
XMSS-SHA2_16_256,PUB_R1,2048,-4,2044,3634815
XMSS-SHA2_16_256,PUB_R1,2048,-3,2045,3605908
XMSS-SHA2_16_256,PUB_R1,2048,-2,2046,3533759
XMSS-SHA2_16_256,PUB_R1,2048,-1,2047,20591648
